Ligand_Name,Site_Number,With_Or_Without_Water,RMSD_Value,Mean,dG
Baricitinib,Site3m,With_Water,0.1876718,0.1416019,
Baricitinib,Site3m,Without_Water,0,0,
Baricitinib,Site3m,Without_Water,0.27819085,0,
Baricitinib,Site3m,Without_Water,0.1375568,0,
Baricitinib,Site3m,Without_Water,0.27091065,0.171664575,
Berchemol,Site1,With_Water,0.000193388,0,
Berchemol,Site1,With_Water,0.2706551,0,
Berchemol,Site1,With_Water,0.29683825,0,
Berchemol,Site1,With_Water,0.3220328,0.222429885,
Berchemol,Site1,Without_Water,0,0,
Berchemol,Site1,Without_Water,0.020384803,0,
Berchemol,Site1,Without_Water,0.3381378,0,
Berchemol,Site1,Without_Water,0.25648597,0.153752143,
Berchemol,Site2,With_Water,0,0,
Berchemol,Site2,With_Water,0.03222163,0,
Berchemol,Site2,With_Water,0.17203377,0,
Berchemol,Site2,With_Water,0.27587542,0.120032705,
Berchemol,Site2,Without_Water,0,0,
Berchemol,Site2,Without_Water,0.091161765,0,
Berchemol,Site2,Without_Water,0.23116815,0,
Berchemol,Site2,Without_Water,0.22926854,0.137899614,
Berchemol,Site3d,With_Water,0,0,
Berchemol,Site3d,With_Water,0.20803788,0,
Berchemol,Site3d,With_Water,0.20119986,0,
Berchemol,Site3d,With_Water,0.28339475,0.173158123,
Berchemol,Site3d,Without_Water,0.000193388,0,
Berchemol,Site3d,Without_Water,0.027599687,0,
Berchemol,Site3d,Without_Water,0.12683538,0,
Berchemol,Site3d,Without_Water,0.10699332,0.065405444,
Berchemol,Site3m,With_Water,0,0,
Berchemol,Site3m,With_Water,0.26709297,0,
Berchemol,Site3m,With_Water,0.25189656,0,
Berchemol,Site3m,With_Water,0.24686076,0.191462573,
Berchemol,Site3m,Without_Water,0.000193388,0,
Berchemol,Site3m,Without_Water,0.01337458,0,
Berchemol,Site3m,Without_Water,0.2895746,0,
Berchemol,Site3m,Without_Water,0.28022555,0.14584203,
Camostat,Site1,With_Water,0,0,
Camostat,Site1,With_Water,0.21687545,0,
Camostat,Site1,With_Water,0.26415986,0,
Camostat,Site1,With_Water,0.024390012,0.126356331,
Camostat,Site1,Without_Water,0,0,
Camostat,Site1,Without_Water,0.19355996,0,
Camostat,Site1,Without_Water,0.18992399,0,
Camostat,Site1,Without_Water,0.18792364,0.142851898,
Camostat,Site2,With_Water,0,0,
Camostat,Site2,With_Water,0.09728369,0,
Camostat,Site2,With_Water,0.29896814,0,
Camostat,Site2,With_Water,0.25276083,0.162253165,
Camostat,Site2,Without_Water,0.00027085,0,
Camostat,Site2,Without_Water,0.2574882,0,
Camostat,Site2,Without_Water,0.32945356,0,
Camostat,Site2,Without_Water,0.26140055,0.21215329,
Camostat,Site3d,With_Water,0,0,
Camostat,Site3d,With_Water,0.19642179,0,
Camostat,Site3d,With_Water,0.25957224,0,
Camostat,Site3d,With_Water,0.2702396,0.181558408,
Camostat,Site3d,Without_Water,0,0,
Camostat,Site3d,Without_Water,0.13530481,0,
Camostat,Site3d,Without_Water,0.24530865,0,
Camostat,Site3d,Without_Water,0.16654812,0.136790395,
Camostat,Site3m,With_Water,0.00027085,0,
Camostat,Site3m,With_Water,0.2614505,0,
Camostat,Site3m,With_Water,0.20720215,0,
Camostat,Site3m,With_Water,0.28807497,0.189249618,
Camostat,Site3m,Without_Water,0,0,
Camostat,Site3m,Without_Water,0.0398453,0,
Camostat,Site3m,Without_Water,0.24639435,0,
Camostat,Site3m,Without_Water,0.14893483,0.10879362,
Chrysin,Site1,With_water,0,0,
Chrysin,Site1,With_water,0.002145681,0,
Chrysin,Site1,With_water,0.00628191,0,
Chrysin,Site1,With_water,0.006406316,0.003708477,
Chrysin,Site1,Without_water,0,0,
Chrysin,Site1,Without_water,0.000256458,0,
Chrysin,Site1,Without_water,0.1769622,0,
Chrysin,Site1,Without_water,0.00640118,0.04590496,
Chrysin,Site2,With_water,0,0,
Chrysin,Site2,With_water,0.0235411,0,
Chrysin,Site2,With_water,0.17704256,0,
Chrysin,Site2,With_water,0.075747386,0.069082762,
Chrysin,Site2,Without_water,0,0,
Chrysin,Site2,Without_water,0.008294341,0,
Chrysin,Site2,Without_water,0.03800988,0,
Chrysin,Site2,Without_water,0.15476558,0.05026745,
Chrysin,Site3d,With_water,0.000181343,0,
Chrysin,Site3d,With_water,0.14091562,0,
Chrysin,Site3d,With_water,0.08115828,0,
Chrysin,Site3d,With_water,0.17696853,0.099805943,
Chrysin,Site3d,Without_water,0,0,
Chrysin,Site3d,Without_water,0.032687567,0,
Chrysin,Site3d,Without_water,0.116319835,0,
Chrysin,Site3d,Without_water,0.002279447,0.037821712,
Chrysin,Site3m,With_water,0,0,
Chrysin,Site3m,With_water,0.042948082,0,
Chrysin,Site3m,With_water,0.1180506,0,
Chrysin,Site3m,With_water,0.10755251,0.067137798,
Chrysin,Site3m,Without_water,0,0,
Chrysin,Site3m,Without_water,0.1796631,0,
Chrysin,Site3m,Without_water,0.1401249,0,
Chrysin,Site3m,Without_water,0.1245237,0.111077925,
Curcumin,Site1,With_water,0.000201449,0,
Curcumin,Site1,With_water,0.1861211,0,
Curcumin,Site1,With_water,0.20032628,0,
Curcumin,Site1,With_water,0.18653686,0.143296422,
Curcumin,Site1,Without_water,0,0,
Curcumin,Site1,Without_water,0.13699467,0,
Curcumin,Site1,Without_water,0.26949382,0,
Curcumin,Site1,Without_water,0.27538297,0.170467865,
Curcumin,Site2,With_water,0,0,
Curcumin,Site2,With_water,0.19279282,0,
Curcumin,Site2,With_water,0.31622717,0,
Curcumin,Site2,With_water,0.2949233,0.200985823,
Curcumin,Site2,Without_water,0.000201449,0,
Curcumin,Site2,Without_water,0.31205407,0,
Curcumin,Site2,Without_water,0.24989308,0,
Curcumin,Site2,Without_water,0.3142128,0.21909035,
Curcumin,Site3d,With_water,0,0,
Curcumin,Site3d,With_water,0.30228752,0,
Curcumin,Site3d,With_water,0.044159267,0,
Curcumin,Site3d,With_water,0.21039793,0.139211179,
Curcumin,Site3d,Without_water,0.000201449,0,
Curcumin,Site3d,Without_water,0.3510226,0,
Curcumin,Site3d,Without_water,0.31027398,0,
Curcumin,Site3d,Without_water,0.3800205,0.260379632,
Curcumin,Site3m,With_water,0,0,
Curcumin,Site3m,With_water,0.32699883,0,
Curcumin,Site3m,With_water,0.33048874,0,
Curcumin,Site3m,With_water,0.33173332,0.247305223,
Curcumin,Site3m,Without_water,0,0,
Curcumin,Site3m,Without_water,0.1926726,0,
Curcumin,Site3m,Without_water,0.4677574,0,
Curcumin,Site3m,Without_water,0.12938169,0.197452923,
DAR,Site1,With_Water,0,0,
DAR,Site1,With_Water,0.3860815,0,
DAR,Site1,With_Water,0.2921551,0,
DAR,Site1,With_Water,0.42405504,0.27557291,
DAR,Site1,Without_Water,0.000215687,0,
DAR,Site1,Without_Water,0.42305556,0,
DAR,Site1,Without_Water,0.43518126,0,
DAR,Site1,Without_Water,0.31897047,0.294355744,
DAR,Site2,With_Water,0,0,
DAR,Site2,With_Water,0.40839761,0,
DAR,Site2,With_Water,0.4830818,0,
DAR,Site2,With_Water,0.29268944,0.296042213,
DAR,Site2,Without_Water,0.000305027,0,
DAR,Site2,Without_Water,0.4945657,0,
DAR,Site2,Without_Water,0.42475533,0,
DAR,Site2,Without_Water,0.40178674,0.330353199,
