Ligand_Name,Site_Number,With_Or_Without_Water,RMSD_Value,Mean
DAR_DIR,Site1,Without_Water,0.36305627,0
DAR_DIR,Site1,Without_Water,0.38212267,0.286258085
DAR_DIR,Site2,Without_Water,0.000197295,0
DAR_DIR,Site2,Without_Water,0.3601452,0
DAR_DIR,Site2,Without_Water,0.3286738,0
DAR_DIR,Site2,Without_Water,0.2501506,0.234791724
DAR_DIR,Site3d,Without_Water,0,0
DAR_DIR,Site3d,Without_Water,0.29890034,0
DAR_DIR,Site3d,Without_Water,0.41582668,0
DAR_DIR,Site3d,Without_Water,0.12768947,0.210604123
DAR_DIR,Site3m,Without_Water,0,0
DAR_DIR,Site3m,Without_Water,0.02730101,0
DAR_DIR,Site3m,Without_Water,0.03992296,0
DAR_DIR,Site3m,Without_Water,0.03620465,0.025857155
Diammonium,Site1,Without_Water,0.000173998,0
Diammonium,Site1,Without_Water,0.04613414,0
Diammonium,Site1,Without_Water,0.050252054,0
Diammonium,Site1,Without_Water,0.053226676,0.037446717
Diammonium,Site2,Without_Water,0,0
Diammonium,Site2,Without_Water,0.039050873,0
Diammonium,Site2,Without_Water,0.047168277,0
Diammonium,Site2,Without_Water,0.040611718,0.031707717
Diammonium,Site3d,Without_Water,0.000173998,0
Diammonium,Site3d,Without_Water,0.03361319,0
Diammonium,Site3d,Without_Water,0.05038833,0
Diammonium,Site3d,Without_Water,0.032489244,0.029166191
Diammonium,Site3m,Without_Water,0,0
Diammonium,Site3m,Without_Water,0.030767685,0
Diammonium,Site3m,Without_Water,0.044811886,0
Diammonium,Site3m,Without_Water,0.038950346,0.028632479
Fisetin,Site1,Without_Water,0,0
Fisetin,Site1,Without_Water,0.041893963,0
Fisetin,Site1,Without_Water,0.45116472,0
Fisetin,Site1,Without_Water,0.45030802,0.235841676
Fisetin,Site2,Without_Water,0,0
Fisetin,Site2,Without_Water,0.14702317,0
Fisetin,Site2,Without_Water,0.44913638,0
Fisetin,Site2,Without_Water,0.44877067,0.261232555
Fisetin,Site3d,Without_Water,0,0
Fisetin,Site3d,Without_Water,0.05505769,0
Fisetin,Site3d,Without_Water,0.4484813,0
Fisetin,Site3d,Without_Water,0.44953305,0.23826801
Fisetin,Site3m,Without_Water,0,0
Fisetin,Site3m,Without_Water,0.05504591,0
Fisetin,Site3m,Without_Water,0.44860768,0
Fisetin,Site3m,Without_Water,0.456666,0.240079898
Forsythoside_E,Site2,Without_Water,0,0
Forsythoside_E,Site2,Without_Water,0.31114507,0
Forsythoside_E,Site2,Without_Water,0.32058236,0
Forsythoside_E,Site2,Without_Water,0.06472407,0.174112875
Forsythoside_E,Site3d,Without_Water,0,0
Forsythoside_E,Site3d,Without_Water,0.24455765,0
Forsythoside_E,Site3d,Without_Water,0.091134265,0
Forsythoside_E,Site3d,Without_Water,0.25796348,0.148413849
Forsythoside_E,Site3m,Without_Water,0.000308816,0
Forsythoside_E,Site3m,Without_Water,0.06252784,0
Forsythoside_E,Site3m,Without_Water,0.12908775,0
Forsythoside_E,Site3m,Without_Water,0.07187394,0.065949587
Hydroxychloroquine,Site1,Without_Water,0,0
Hydroxychloroquine,Site1,Without_Water,0.15021051,0
Hydroxychloroquine,Site1,Without_Water,0.24085473,0
Hydroxychloroquine,Site1,Without_Water,0.23826912,0.15733359
Hydroxychloroquine,Site2,Without_Water,0.000135425,0
Hydroxychloroquine,Site2,Without_Water,0.108902134,0
Hydroxychloroquine,Site2,Without_Water,0.22034156,0
Hydroxychloroquine,Site2,Without_Water,0.19645265,0.131457942
Hydroxychloroquine,Site3d,Without_Water,0,0
Hydroxychloroquine,Site3d,Without_Water,0.22403033,0
Hydroxychloroquine,Site3d,Without_Water,0.19407204,0
Hydroxychloroquine,Site3d,Without_Water,0.22204371,0.16003652
Hydroxychloroquine,Site3m,Without_Water,0,0
Hydroxychloroquine,Site3m,Without_Water,0.24358252,0
Hydroxychloroquine,Site3m,Without_Water,0.15065533,0
Hydroxychloroquine,Site3m,Without_Water,0.26388606,0.164530978
Hypericin,Site1,WOW,0,0
Hypericin,Site1,WOW,0.0484612,0
Hypericin,Site1,WOW,0.047406964,0
Hypericin,Site1,WOW,0.042532478,0.034600161
Hypericin,Site2,WOW,0,0
Hypericin,Site2,WOW,0.042765237,0
Hypericin,Site2,WOW,0.048730593,0
Hypericin,Site2,WOW,0.051475424,0.035742814
Hyperoside,Site1,Without_Water,0,0
Hyperoside,Site1,Without_Water,0.056800764,0
Hyperoside,Site1,Without_Water,0.13623233,0
Hyperoside,Site1,Without_Water,0.12773271,0.080191451
Hyperoside,Site2,Without_Water,0,0
Hyperoside,Site2,Without_Water,0.10167432,0
Hyperoside,Site2,Without_Water,0.09659605,0
Hyperoside,Site2,Without_Water,0.10318805,0.075364605
Hyperoside,Site3d,Without_Water,0,0
Hyperoside,Site3d,Without_Water,0.14619406,0
Hyperoside,Site3d,Without_Water,0.1445677,0
Hyperoside,Site3d,Without_Water,0.14580046,0.109140555
Hyperoside,Site3m,Without_Water,0,0
Hyperoside,Site3m,Without_Water,0.054075856,0
Hyperoside,Site3m,Without_Water,0.06075589,0
Hyperoside,Site3m,Without_Water,0.048140403,0.040743037
Ivermectin,Site1,Without_Water,0,0
Ivermectin,Site1,Without_Water,0.16263184,0
Ivermectin,Site1,Without_Water,0.16363734,0
Ivermectin,Site1,Without_Water,0.029407842,0.088919256
Ivermectin,Site2,Without_Water,0.000484511,0
Ivermectin,Site2,Without_Water,0.16714828,0
Ivermectin,Site2,Without_Water,0.16887613,0
Ivermectin,Site2,Without_Water,0.17038286,0.126722945
Ivermectin,Site3d,Without_Water,0,0
Ivermectin,Site3d,Without_Water,0.18881407,0
Ivermectin,Site3d,Without_Water,0.053012423,0
Ivermectin,Site3d,Without_Water,0.04549888,0.071831343
Ivermectin,Site3m,Without_Water,0,0
Ivermectin,Site3m,Without_Water,0.034449697,0
Ivermectin,Site3m,Without_Water,0.0370215,0
Ivermectin,Site3m,Without_Water,0.054797925,0.031567281
Myricetin,Site1,Without_Water,0,0
Myricetin,Site1,Without_Water,0.052646372,0
Myricetin,Site1,Without_Water,0.059472244,0
Myricetin,Site1,Without_Water,0.051577054,0.040923918
Myricetin,Site2,Without_Water,0,0
Myricetin,Site2,Without_Water,0.0539757,0
Myricetin,Site2,Without_Water,0.052438267,0
Myricetin,Site2,Without_Water,0.037793398,0.036051841
Myricetin,Site3d,Without_Water,0.000181343,0
Myricetin,Site3d,Without_Water,0.06577907,0
Myricetin,Site3d,Without_Water,0.052425724,0
Myricetin,Site3d,Without_Water,0.05426312,0.043162314
Myricetin,Site3m,Without_Water,0,0
Myricetin,Site3m,Without_Water,0.05541152,0
Myricetin,Site3m,Without_Water,0.06062558,0
Myricetin,Site3m,Without_Water,0.06295531,0.044748103
Nelfinavir,Site1,Without_Water,0,0
Nelfinavir,Site1,Without_Water,0.21896681,0
Nelfinavir,Site1,Without_Water,0.10095744,0
Nelfinavir,Site1,Without_Water,0.21040212,0.132581593
Nelfinavir,Site2,Without_Water,0,0
Nelfinavir,Site2,Without_Water,0.36554688,0
Nelfinavir,Site2,Without_Water,0.23812582,0
Nelfinavir,Site2,Without_Water,0.18731047,0.197745793
Nelfinavir,Site3d,Without_Water,0,0
Nelfinavir,Site3d,Without_Water,0.14265896,0
Nelfinavir,Site3d,Without_Water,0.15297124,0
Nelfinavir,Site3d,Without_Water,0.15893139,0.113640398
Nelfinavir,Site3m,Without_Water,0.000205877,0
Nelfinavir,Site3m,Without_Water,0.015243275,0
Nelfinavir,Site3m,Without_Water,0.072741196,0
Nelfinavir,Site3m,Without_Water,0.29520464,0.095848747
Oroxylin_A,Site1,Without_Water,0,0
Oroxylin_A,Site1,Without_Water,0.02495204,0
Oroxylin_A,Site1,Without_Water,0.039426748,0
Oroxylin_A,Site1,Without_Water,0.038046177,0.025606241
Oroxylin_A,Site2,Without_Water,0.000143986,0
Oroxylin_A,Site2,Without_Water,0.03361178,0
Oroxylin_A,Site2,Without_Water,0.10805237,0
Oroxylin_A,Site2,Without_Water,0.10746693,0.062318767
Oroxylin_A,Site3d,Without_Water,0.000143986,0
Oroxylin_A,Site3d,Without_Water,0.010259465,0
Oroxylin_A,Site3d,Without_Water,0.03426813,0
Oroxylin_A,Site3d,Without_Water,0.044694234,0.022341454
Oroxylin_A,Site3m,Without_Water,0,0
Oroxylin_A,Site3m,Without_Water,0.032172155,0
Oroxylin_A,Site3m,Without_Water,0.02537674,0
Oroxylin_A,Site3m,Without_Water,0.03884162,0.024097629
Quercitin,Site1,Without_Water,0.00018794,0
