Ligand_Name,Site_Number,With_Or_Without_Water,RMSD Value,WOW,dG,Mean
Baricitinib,Site3m,Without_Water,0.21257894,Without water,-7.5,0
Baricitinib,Site3m,Without_Water,0.19683592,Reapeat with water,-7.6,0
Baricitinib,Site3m,Without_Water,0.21872376,Repeat without water,-7.5,-7.55
Berchemol,Site1,With_Water,0,With water,-8.8,0
Berchemol,Site1,With_Water,0.051079944,Without water,-7.6,0
Berchemol,Site1,With_Water,0.047550704,Reapeat with water,-8.8,0
Berchemol,Site1,With_Water,0.057691358,Repeat without water,-8.8,-8.5
Berchemol,Site1,Without_Water,0,With water,-8.8,0
Berchemol,Site1,Without_Water,0.03235993,Without water,-7.6,0
Berchemol,Site1,Without_Water,0.17065309,Reapeat with water,-8.3,0
Berchemol,Site1,Without_Water,0.05966036,Repeat without water,-8.8,-8.375
Berchemol,Site2,With_Water,0,With water,-9.6,0
Berchemol,Site2,With_Water,0.037650906,Without water,-9.5,0
Berchemol,Site2,With_Water,0.20677388,Reapeat with water,-9.6,0
Berchemol,Site2,With_Water,0.19603156,Repeat without water,-9.3,-9.5
Berchemol,Site2,Without_Water,0,With water,-9.6,0
Berchemol,Site2,Without_Water,0.040131923,Without water,-9.5,0
Berchemol,Site2,Without_Water,0.19371504,Reapeat with water,-9.6,0
Berchemol,Site2,Without_Water,0.056404684,Repeat without water,-9.5,-9.55
Berchemol,Site3d,With_Water,0,With water,-8.3,0
Berchemol,Site3d,With_Water,0.18874748,Without water,-8.2,0
Berchemol,Site3d,With_Water,0.037276458,Reapeat with water,-8.3,0
Berchemol,Site3d,With_Water,0.055543453,Repeat without water,-8.2,-8.25
Berchemol,Site3d,Without_Water,0,With water,-8.3,0
Berchemol,Site3d,Without_Water,0.047608573,Without water,-8.1,0
Berchemol,Site3d,Without_Water,0.034057964,Reapeat with water,-8.3,0
Berchemol,Site3d,Without_Water,0.04556748,Repeat without water,-8.2,-8.225
Berchemol,Site3m,With_Water,0.000175396,With water,-7,0
Berchemol,Site3m,With_Water,0.054986514,Without water,-7.5,0
Berchemol,Site3m,With_Water,0.04389663,Reapeat with water,-7.3,0
Berchemol,Site3m,With_Water,0.03918713,Repeat without water,-7.5,-7.325
Berchemol,Site3m,Without_Water,0.000175396,With water,-7.3,0
Berchemol,Site3m,Without_Water,0.044036575,Without water,-7.5,0
Berchemol,Site3m,Without_Water,0.049583063,Reapeat with water,-7.3,0
Berchemol,Site3m,Without_Water,0.0568166,Repeat without water,-7.4,-7.375
Beta,Site1,Without_Water,0,With water,-7.2,0
Beta,Site1,Without_Water,0.120828,Without water,-6.8,0
Beta,Site1,Without_Water,0.075760596,Reapeat with water,-7,0
Beta,Site1,Without_Water,0.06860852,Repeat without water,-6.8,-6.95
Beta,Site2,With_Water,0,With water,-7.9,0
Beta,Site2,With_Water,0.06463028,Without water,-6.8,0
Beta,Site2,With_Water,0.055205174,Reapeat with water,-6.5,0
