Ligand_Name,Site_Number,With_Or_Without_Water,RMSD_Value,Mean,dG
Berchemol,Site3m,Without_Water,0.049583063,0,
Berchemol,Site3m,Without_Water,0.0568166,0.037652909,
Beta,Site1,Without_Water,0,0,
Beta,Site1,Without_Water,0.120828,0,
Beta,Site1,Without_Water,0.075760596,0,
Beta,Site1,Without_Water,0.06860852,0.066299279,
Beta,Site2,With_Water,0,0,
Beta,Site2,With_Water,0.06463028,0,
Beta,Site2,With_Water,0.055205174,0,
Beta,Site2,With_Water,0.053452667,0.04332203,
Beta,Site2,Without_Water,0.000143986,0,
Beta,Site2,Without_Water,0.08956664,0,
Beta,Site2,Without_Water,0.04758785,0,
Beta,Site2,Without_Water,0.098977245,0.05906893,
Beta,Site3d,With_Water,0,0,
Beta,Site3d,With_Water,0.043623805,0,
Beta,Site3d,With_Water,0.0973819,0,
Beta,Site3d,With_Water,0.047939867,0.047236393,
Beta,Site3d,Without_Water,0,0,
Beta,Site3d,Without_Water,0.09695817,0,
Beta,Site3d,Without_Water,0.09268837,0,
Beta,Site3d,Without_Water,0.054927133,0.061143418,
Beta,Site3m,With_Water,0,0,
Beta,Site3m,With_Water,0.048384964,0,
Beta,Site3m,With_Water,0.035495467,0,
Beta,Site3m,With_Water,0.10381222,0.046923163,
Beta,Site3m,Without_Water,0,0,
Beta,Site3m,Without_Water,0.036235943,0,
Beta,Site3m,Without_Water,0.04006805,0,
Beta,Site3m,Without_Water,0.05909826,0.033850563,
Camostat,Site1,With_Water,0.000167479,0,
Camostat,Site1,With_Water,0.091131404,0,
Camostat,Site1,With_Water,0.1377444,0,
Camostat,Site1,With_Water,0.04333147,0.068093688,
Camostat,Site1,Without_Water,0,0,
Camostat,Site1,Without_Water,0.2792197,0,
Camostat,Site1,Without_Water,0.051966578,0,
Camostat,Site1,Without_Water,0.21230483,0.135872777,
Camostat,Site2,With_Water,0.000410238,0,
Camostat,Site2,With_Water,0.32073456,0,
Camostat,Site2,With_Water,0.22955072,0,
Camostat,Site2,With_Water,0.22525758,0.193988275,
Camostat,Site2,Without_Water,0,0,
Camostat,Site2,Without_Water,0.2635579,0,
Camostat,Site2,Without_Water,0.26474217,0,
Camostat,Site2,Without_Water,0.23488092,0.190795248,
Camostat,Site3d,With_Water,0.000236851,0,
Camostat,Site3d,With_Water,0.24550892,0,
Camostat,Site3d,With_Water,0.10534049,0,
Camostat,Site3d,With_Water,0.21435675,0.141360753,
Camostat,Site3d,Without_Water,0,0,
Camostat,Site3d,Without_Water,0.2725477,0,
Camostat,Site3d,Without_Water,0.2808394,0,
Camostat,Site3d,Without_Water,0.310152,0.215884775,
