Ligand_Name,Site_Number,With_Or_Without_Water,RMSD_Value,Mean
DAR,Site1,Without_Water,0.000215687,0
DAR,Site1,Without_Water,0.42305556,0
DAR,Site1,Without_Water,0.43518126,0
DAR,Site1,Without_Water,0.31897047,0.294355744
DAR,Site2,Without_Water,0.000305027,0
DAR,Site2,Without_Water,0.4945657,0
DAR,Site2,Without_Water,0.42475533,0
DAR,Site2,Without_Water,0.40178674,0.330353199
DAR,Site3d,Without_Water,0.000305027,0
DAR,Site3d,Without_Water,0.4440735,0
DAR,Site3d,Without_Water,0.452465,0
DAR,Site3d,Without_Water,0.42592883,0.330693089
DAR,Site3m,Without_Water,0.000305027,0
DAR,Site3m,Without_Water,0.24122979,0
DAR,Site3m,Without_Water,0.3952235,0
DAR,Site3m,Without_Water,0.45989814,0.274164114
Fisetin,Site1,Without_Water,0.000175396,0
Fisetin,Site1,Without_Water,0.014645287,0
Fisetin,Site1,Without_Water,0.01362454,0
Fisetin,Site1,Without_Water,0.05704437,0.021372398
Fisetin,Site2,Without_Water,0,0
Fisetin,Site2,Without_Water,0.054920737,0
Fisetin,Site2,Without_Water,0.024509015,0
Fisetin,Site2,Without_Water,0.20197053,0.070350071
Forsythoside,Site1,Without_Water,0,0
Forsythoside,Site1,Without_Water,0.11147366,0
Forsythoside,Site1,Without_Water,0.102097385,0
Forsythoside,Site1,Without_Water,0.2746455,0.122054136
Forsythoside,Site2,Without_Water,0,0
Forsythoside,Site2,Without_Water,0.14169832,0
Forsythoside,Site2,Without_Water,0.27091077,0
Forsythoside,Site2,Without_Water,0.5320037,0.236153198
Forsythoside,Site3d,Without_Water,0,0
Forsythoside,Site3d,Without_Water,0.27531397,0
Forsythoside,Site3d,Without_Water,0.24341254,0
Forsythoside,Site3d,Without_Water,0.24673714,0.191365913
Forsythoside,Site3m,Without_Water,0,0
Forsythoside,Site3m,Without_Water,0.23460682,0
Forsythoside,Site3m,Without_Water,0.26060116,0
Forsythoside,Site3m,Without_Water,0.2579243,0.18828307
Hydroxychloroquine,Site1,Without_Water,0,0
Hydroxychloroquine,Site1,Without_Water,0.2315181,0
Hydroxychloroquine,Site1,Without_Water,0.19692436,0
Hydroxychloroquine,Site1,Without_Water,0.19986744,0.157077475
Hydroxychloroquine,Site2,Without_Water,0,0
Hydroxychloroquine,Site2,Without_Water,0.22949801,0
Hydroxychloroquine,Site2,Without_Water,0.09803248,0
Hydroxychloroquine,Site2,Without_Water,0.27009642,0.149406728
Hydroxychloroquine,Site3d,Without_Water,0,0
Hydroxychloroquine,Site3d,Without_Water,0.29814458,0
Hydroxychloroquine,Site3d,Without_Water,0.17808998,0
Hydroxychloroquine,Site3d,Without_Water,0.20431918,0.170138435
Hydroxychloroquine,Site3m,Without_Water,0,0
Hydroxychloroquine,Site3m,Without_Water,0.25462034,0
Hydroxychloroquine,Site3m,Without_Water,0.20520434,0
Hydroxychloroquine,Site3m,Without_Water,0.25910896,0.17973341
Hypericin,Site1,Without_Water,0,0
Hypericin,Site1,Without_Water,0.04564455,0
Hypericin,Site1,Without_Water,0.002644544,0
Hypericin,Site1,Without_Water,0.050321843,0.024652734
Hypericin,Site2,Without_Water,0.00018794,0
Hypericin,Site2,Without_Water,0.001953125,0
Hypericin,Site2,Without_Water,0.04602332,0
Hypericin,Site2,Without_Water,0.00370198,0.012966591
Hyperoside,Site1,Without_water,0,0
Hyperoside,Site1,Without_water,0.26659384,0
Hyperoside,Site1,Without_water,0.26948592,0
Hyperoside,Site1,Without_water,0.057504807,0.148396142
Hyperoside,Site2,Without_water,0.000189704,0
Hyperoside,Site2,Without_water,0.32507262,0
Hyperoside,Site2,Without_water,0.25077972,0
Hyperoside,Site2,Without_water,0.32948345,0.226381374
Hyperoside,Site3d,Without_water,0,0
Hyperoside,Site3d,Without_water,0.2773979,0
Hyperoside,Site3d,Without_water,0.09949189,0
Hyperoside,Site3d,Without_water,0.12755084,0.126110158
Hyperoside,Site3m,Without_water,0,0
Hyperoside,Site3m,Without_water,0.17417486,0
Hyperoside,Site3m,Without_water,0.08415047,0
Hyperoside,Site3m,Without_water,0.20363028,0.115488903
Ivermectin,Site1,Without_Water,0,0
Ivermectin,Site1,Without_Water,0.18850677,0
Ivermectin,Site1,Without_Water,0.31494397,0
Ivermectin,Site1,Without_Water,0.3137033,0.20428851
Ivermectin,Site2,Without_Water,0,0
Ivermectin,Site2,Without_Water,0.06091636,0
Ivermectin,Site2,Without_Water,0.38599116,0
Ivermectin,Site2,Without_Water,0.39262792,0.20988386
Ivermectin,Site3d,Without_Water,0,0
Ivermectin,Site3d,Without_Water,0.12595497,0
Ivermectin,Site3d,Without_Water,0.34043643,0
Ivermectin,Site3d,Without_Water,0.3442715,0.202665725
Ivermectin,Site3m,Without_Water,0,0
Ivermectin,Site3m,Without_Water,0.04523362,0
Ivermectin,Site3m,Without_Water,0.49752182,0
Ivermectin,Site3m,Without_Water,0.29011574,0.208217795
Myricetin,Site1,Without_Water,0,0
Myricetin,Site1,Without_Water,0.21500866,0
Myricetin,Site1,Without_Water,0.059057508,0
Myricetin,Site1,Without_Water,0.059943903,0.083502518
Myricetin,Site2,Without_Water,0,0
Myricetin,Site2,Without_Water,0.20947361,0
Myricetin,Site2,Without_Water,0.21345194,0
Myricetin,Site2,Without_Water,0.21263757,0.15889078
Myricetin,Site3d,Without_Water,0,0
Myricetin,Site3d,Without_Water,0.007009185,0
Myricetin,Site3d,Without_Water,0.14826588,0
Myricetin,Site3d,Without_Water,0.13550556,0.072695156
Myricetin,Site3m,Without_Water,0,0
Myricetin,Site3m,Without_Water,0.06240653,0
Myricetin,Site3m,Without_Water,0.21379785,0
Myricetin,Site3m,Without_Water,0.052414734,0.082154779
Nelfinavir,Site2,Without_water,0,0
Nelfinavir,Site2,Without_water,0.15443984,0
Nelfinavir,Site2,Without_water,0.3396936,0
Nelfinavir,Site2,Without_water,0.2749596,0.19227326
Nelfinavir,Site3d,Without_water,0,0
Nelfinavir,Site3d,Without_water,0.06297512,0
Nelfinavir,Site3d,Without_water,0.2578286,0
Nelfinavir,Site3d,Without_water,0.28872955,0.152383318
Nelfinavir,Site3m,Without_water,0,0
Nelfinavir,Site3m,Without_water,0.21989602,0
Nelfinavir,Site3m,Without_water,0.23183867,0
Nelfinavir,Site3m,Without_water,0.38325736,0.208748013
NHC,Site1,Without_Water,0.000124024,0
NHC,Site1,Without_Water,0.09643508,0
NHC,Site1,Without_Water,0.121186376,0
NHC,Site1,Without_Water,0.12253948,0.08507124
Oroxylin_A,Site1,Without_water,0,0
Oroxylin_A,Site1,Without_water,0.18877141,0
Oroxylin_A,Site1,Without_water,0.11496761,0
Oroxylin_A,Site1,Without_water,0.10306657,0.101701398
Oroxylin_A,Site2,Without_water,0,0
Oroxylin_A,Site2,Without_water,0.0971181,0
Oroxylin_A,Site2,Without_water,0.16092247,0
Oroxylin_A,Site2,Without_water,0.120411314,0.094612971
Oroxylin_A,Site3d,Without_water,0.000240413,0
Oroxylin_A,Site3d,Without_water,0.009943049,0
Oroxylin_A,Site3d,Without_water,0.12947443,0
Oroxylin_A,Site3d,Without_water,0.13301112,0.068167253
Oroxylin_A,Site3m,Without_water,0,0
Oroxylin_A,Site3m,Without_water,0.12884727,0
Oroxylin_A,Site3m,Without_water,0.15790747,0
Oroxylin_A,Site3m,Without_water,0.16374883,0.112625893
Quercetin,Site1,Without_Water,0,0
Quercetin,Site1,Without_Water,0.006022411,0
Quercetin,Site1,Without_Water,0.005047869,0
Quercetin,Site1,Without_Water,0.007039976,0.004527564
Quercetin,Site2,Without_Water,0,0
Quercetin,Site2,Without_Water,0.045264553,0
Quercetin,Site2,Without_Water,0.007605676,0
Quercetin,Site2,Without_Water,0.19071203,0.060895565
Quercetin,Site3d,Without_Water,0.000244141,0
Quercetin,Site3d,Without_Water,0.18278463,0
Quercetin,Site3d,Without_Water,0.063594066,0
Quercetin,Site3d,Without_Water,0.19087714,0.109374994
Quercetin,Site3m,Without_Water,0,0
Quercetin,Site3m,Without_Water,0.010481,0
Quercetin,Site3m,Without_Water,0.18378162,0
Quercetin,Site3m,Without_Water,0.012674168,0.051734197
Remdesivir,Site1,Without_Water,0.000222579,0
Remdesivir,Site1,Without_Water,0.38049975,0
Remdesivir,Site1,Without_Water,0.48360276,0
Remdesivir,Site1,Without_Water,0.37235644,0.309170382
Remdesivir,Site2,Without_Water,0,0
Remdesivir,Site2,Without_Water,0.42075223,0
Remdesivir,Site2,Without_Water,0.45996502,0
Remdesivir,Site2,Without_Water,0.45821893,0.334734045
Remdesivir,Site3d,Without_Water,0,0
Remdesivir,Site3d,Without_Water,0.21497919,0
Remdesivir,Site3d,Without_Water,0.20396434,0
Remdesivir,Site3d,Without_Water,0.49215105,0.227773645
Remdesivir,Site3m,Without_Water,0.000222579,0
Remdesivir,Site3m,Without_Water,0.47404715,0
Remdesivir,Site3m,Without_Water,0.41773197,0
Remdesivir,Site3m,Without_Water,0.47570178,0.34192587
Rhein,Site1,Without_water,0,0
Rhein,Site1,Without_water,0.004280674,0
Rhein,Site1,Without_water,0.004835499,0
Rhein,Site1,Without_water,0.010904253,0.005005107
Rhein,Site2,Without_water,0,0
Rhein,Site2,Without_water,0.02572777,0
Rhein,Site2,Without_water,0.030995559,0
Rhein,Site2,Without_water,0.06572004,0.030610842
Rhein,Site3d,Without_water,0,0
Rhein,Site3d,Without_water,0.05919779,0
Rhein,Site3d,Without_water,0.042909853,0
Rhein,Site3d,Without_water,0.005131104,0.026809687
Rhein,Site3m,Without_water,0.00022603,0
Rhein,Site3m,Without_water,0.059554875,0
Rhein,Site3m,Without_water,0.001587585,0
Rhein,Site3m,Without_water,0.001987696,0.015839047
Ritonavir,Site1,Without_Water,0,0
Ritonavir,Site1,Without_Water,0.059511967,0
Ritonavir,Site1,Without_Water,0.6297686,0
Ritonavir,Site1,Without_Water,0.31138754,0.250167027
Ritonavir,Site2,Without_Water,0,0
Ritonavir,Site2,Without_Water,0.3680457,0
Ritonavir,Site2,Without_Water,0.29433462,0
Ritonavir,Site2,Without_Water,0.3051259,0.241876555
Rutin,Site1,Without_Water,0,0
Rutin,Site1,Without_Water,0.27302498,0
Rutin,Site1,Without_Water,0.005486304,0
Rutin,Site1,Without_Water,0.4276048,0.176529021
Rutin,Site2,Without_Water,0.000228596,0
Rutin,Site2,Without_Water,0.32654887,0
Rutin,Site2,Without_Water,0.21470092,0
Rutin,Site2,Without_Water,0.30281335,0.211072934
Theaflavin_Digallate,Site1,Without_water,0,0
Theaflavin_Digallate,Site1,Without_water,0.41182983,0
Theaflavin_Digallate,Site1,Without_water,0.5583663,0
Theaflavin_Digallate,Site1,Without_water,0.24899943,0.30479889
Theaflavin_Digallate,Site2,Without_water,0,0
Theaflavin_Digallate,Site2,Without_water,0.14909017,0
Theaflavin_Digallate,Site2,Without_water,0.3608835,0
Theaflavin_Digallate,Site2,Without_water,0.33490753,0.2112203
Theaflavin_Digallate,Site3d,Without_water,0,0
Theaflavin_Digallate,Site3d,Without_water,0.1859129,0
Theaflavin_Digallate,Site3d,Without_water,0.50913006,0
Theaflavin_Digallate,Site3d,Without_water,0.5129296,0.30199314
Theaflavin_Digallate,Site3m,Without_water,0,0
Theaflavin_Digallate,Site3m,Without_water,0.33868626,0
Theaflavin_Digallate,Site3m,Without_water,0.27370992,0
Theaflavin_Digallate,Site3m,Without_water,0.2196989,0.20802377
Torvoside_H,Site1,Without_Water,0,0
Torvoside_H,Site1,Without_Water,0.046574056,0
Torvoside_H,Site1,Without_Water,0.042578164,0
Torvoside_H,Site1,Without_Water,0.4595926,0.137186205
Torvoside_H,Site2,Without_Water,0,0
Torvoside_H,Site2,Without_Water,0.17830114,0
Torvoside_H,Site2,Without_Water,0.2178523,0
Torvoside_H,Site2,Without_Water,0.32275373,0.179726793
Wogonin,Site1,Without_Water,0,0
Wogonin,Site1,Without_Water,0.16562645,0
Wogonin,Site1,Without_Water,0.13357125,0
Wogonin,Site1,Without_Water,0.16728742,0.11662128
Wogonin,Site2,Without_Water,0,0
Wogonin,Site2,Without_Water,0.09685395,0
Wogonin,Site2,Without_Water,0.11163026,0
Wogonin,Site2,Without_Water,0.17082427,0.09482712
Wogonin,Site3d,Without_Water,0.000169998,0
Wogonin,Site3d,Without_Water,0.18407173,0
Wogonin,Site3d,Without_Water,0.14808644,0
Wogonin,Site3d,Without_Water,0.14797273,0.120075225
Wogonin,Site3m,Without_Water,0,0
Wogonin,Site3m,Without_Water,0.09040251,0
Wogonin,Site3m,Without_Water,0.08461242,0
Wogonin,Site3m,Without_Water,0.017753167,0.048192024
Wogonoside,Site1,Without_Water,0.00019152,0
Wogonoside,Site1,Without_Water,0.11298686,0
Wogonoside,Site1,Without_Water,0.14239484,0
Wogonoside,Site1,Without_Water,0.13936211,0.098733833
Wogonoside,Site2,Without_Water,0,0
Wogonoside,Site2,Without_Water,0.08855709,0
Wogonoside,Site2,Without_Water,0.25355563,0
Wogonoside,Site2,Without_Water,0.23494655,0.144264818
Wogonoside,Site3m,Without_Water,0,0
Wogonoside,Site3m,Without_Water,0.04477589,0
Wogonoside,Site3m,Without_Water,0.24614389,0
Wogonoside,Site3m,Without_Water,0.0980949,0.09725367
